"Sygnatura czasowa","Jak często korzystasz ze sztucznej inteligencji?","Jak oceniasz wpływ sztucznej  inteligencji na twoje życie codzienne? (Jeśli nie korzystasz z narzędzi AI, pomiń to pytanie)","Do jakich celów używasz sztucznej inteligencji?","Twój obecny etap edukacji:","Czy obecnie jesteś zatrudniony/a lub wykonujesz pracę zarobkową?","Czy obecnie jesteś zatrudniony/-a lub wykonujesz pracę zarobkową?","Na jakim stanowisku pracujesz?","Jak oceniasz wpływ sztucznej inteligencji na twoją pracę?","Jeżeli wykorzystujesz AI w swojej pracy, to w jakim celu? (Jeśli nie, pomiń to pytanie)","Jakie są twoje największe obawy związane z wykorzystaniem sztucznej inteligencji w miejscu pracy?","Czy uważasz, że w przyszłości sztuczna inteligencja będzie w stanie zastąpić twoje aktualne stanowisko pracy?","Czym się zajmujesz zawodowo?","Jak oceniasz wpływ sztucznej inteligencji na twoją pracę?","Jeżeli wykorzystujesz AI w swojej pracy, to w jakim celu? (Jeśli nie, pomiń to pytanie)","Jakie są twoje największe objawy związane z wykorzystaniem sztucznej inteligencji w miejscu pracy?","Czy uważasz, że w przyszłości sztuczna inteligencja będzie w stanie zastąpić twoje aktualne stanowisko pracy?","Na jakim kierunku studiujesz? (Jeśli nie jesteś studentem/studentką, pomiń to pytanie)","Jak oceniasz wpływ sztucznej inteligencji na twoją edukację?","Jeśli korzystasz ze sztucznej inteligencji w edukacji, to w jakim celu? (Jeśli nie, pomiń to pytanie)","Jak oceniasz wpływ sztucznej inteligencji na twoje plany dotyczące przyszłego kierunku studiów/przyszłej kariery?","Czy obawiasz się, że sztuczna inteligencja może w przyszłości zastąpić twoją pracę lub karierę zawodową?","Czy uważasz, że korzystanie z AI w edukacji/pracy powinno być ograniczane lub kontrolowane przez szkoły/uczelnie/firmy?","Czy boisz się, że AI może negatywnie wpłynąć na jakość edukacji?","Czy uważasz, że zbyt częste korzystanie z AI może osłabiać kreatywność?","Czy uważasz, że jesteś w pewnym stopniu uzależniony/a od narzędzi opartych na sztucznej inteligencji?","Jeśli na poprzednie pytanie odpowiedziałeś/-aś twierdząco, czy chciał(a)byś ograniczyć korzystanie z narzędzi AI? (W przeciwnym przypadku pomiń to pytanie)","Czy brak dostępu do narzędzi AI utrudniłby Ci naukę, pracę lub codzienne zadania?","Jakie widzisz korzyści i zagrożenia związane z rozwojem sztucznej inteligencji?"
"2025/05/21 6:35:26 PM EEST","Nigdy","","Nie korzystam z AI","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Psychologia ","2","","3","1","5","5","5","1","","1","Duże algorytmy uczenia maszynowego wykorzystuje do szkolenia kradzione materiały bez poszanowania praw autorskich, ponadto ich kod nie jest w wielu przypadkach jawny co uniemożliwia weryfikację ich dokładnego sposobu działania. Algorytmy uczenia maszynowego mogą usprawnić wykonywanie olbrzymiej, repetytywnej pracy, ale obecnie są zazwyczaj wykorzystywane bezrefleksyjnie i bez świadomości co do specyfiki ich działania zazwyczaj w celu ograniczania kosztów (kosztem jakości)"
"2025/05/21 6:38:08 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","lekarski","4","pomoc w omówieniu zagadnień, pomoc w zaliczeniach","4","2","3","4","4","3","3","4","przyspieszenie pracy"
"2025/05/21 6:51:41 PM EEST","kilka razy w roku","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Programowanie i analiza danych","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Matematyka","2","Rozwiązywanie zadań które umiem rozwiązywac","3","2","4","4","5","1","","2",""
"2025/05/21 6:55:57 PM EEST","Codziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","lekarski","5","tłumaczenie zagadnień","4","3","3","4","4","2","","4",""
"2025/05/21 7:07:54 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Psychologia","3","Chat pomaga mi streszczać artykuły lub upraszczać jakieś zagadnienia, też na psychometrii było nam sugerowane że możemy użyć chata do generowania początkowych itemów do autorskiego kwestionariusza ","3","2","4","4","4","2","","4","Problemy ekologiczne (serwery modelów językowych wymagają dużego zużycia wody), problemy związane ze sztuką i artystami- AI kradnie estetykę i elementy z istniejacych już dzieł, co można uznać za kradzież + firmy które nie chcą zatrudniać grafików i generują okropnej jakości obrazki AI oraz również spadek kreatywności i wkładu własnego co może być niebezpiecznie szczególnie na niższych szczeblach edukacji gdzie zadania kreatywne mają też za zadanie pomóc w prawidłowym rozwoju dzieci/młodzieży"
"2025/05/21 7:08:58 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Rozrywka (np. chatboty, gry)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","lekarski","4","1) przygotowanie streszczeń lub fiszek
2) wytłumaczenie zawiłych tematów
3) zestawienia różnych danych","3","4","2","2","5","1","","4","1) szybka analiza danych, usprawnienie powtarzalnych czynności
2) utrata zaufania do specjalistów, próba zastąpienia pracowników usług przez SI"
"2025/05/21 7:33:58 PM EEST","Raz w tygodniu","3","Pisanie tekstów (np. e-maili, prac, wpisów);Redagowanie tekstu ","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Elektrotechnika i budowa maszyn ","3","Redagowanie tekstu","3","5","5","5","5","3","5","1",""
"2025/05/21 7:37:59 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Rozrywka (np. chatboty, gry);Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Transport","4","Ułatwienie pracy","3","4","3","4","4","2","3","4","Z korzyści ułatwienie pracy, z zagrożeń zastąpienie przyszłego stanowiska pracy."
"2025/05/21 7:38:01 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Programowanie i analiza danych;Generowanie grafik / obrazów;Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Transport","4","Do pisania wniosków, podsumowań sprawozdań.","4","2","2","3","4","2","","2",""
"2025/05/21 7:41:28 PM EEST","Nigdy","","Nie korzystam z AI","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","kierunek pielęgniarstwo ","2","","2","3","4","5","5","1","","1",""
"2025/05/21 8:05:58 PM EEST","Jedynie kiedy jest to prawie niemożliwe do uniknięcia. Wydaje mi się, że jest to średnio raz na dwa miesiace","2","Tłumaczenie treści;Pomoc w lekkiej obróbce graficznej jak np. Usunięcie tła ","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Pedagogika specjalna","1","O wiele łatwiej zapamiętuje materiał słysząc go, nie czytając, więc czasem używam aplikacji czytających tekst. Jednak te z których korzystam wykorzystują starsze wersje ai z przed ""wielkiego bum"" na ai","3","3","5","5","5","1","","1",""
"2025/05/21 8:16:14 PM EEST","Kilka razy w miesiącu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Studia/Szkoła wyższa","Tak","","Sprzedawca ","3","","Brak","2","","","","","","Pielęgniarstwo ","4","Pomoc w pisaniu prac zaliczeniowych ","4","1","2","3","4","2","","2",""
"2025/05/21 8:35:17 PM EEST","Kilka razy w tygodniu","4","Programowanie i analiza danych;Generowanie grafik / obrazów;zamiast googlowania rozwiązań problemów i przegladania 10 stron w poszukiwaniu rozwiazania na jakis problem","Zakończyłem/-am swoją edukację","","Tak","","","","","","game development","5","odpowiedziałam na to pytanie w punkcie ""Do jakich celów używasz sztucznej inteligencji?"", AI uzywam w 99% przypadków w pracy własnie  do celów wymienionych tam","ze mimo wszystko AI trzeba czasami sprawdzac czy ma jednak racje i czy nie kłamie","1","","","","","","2","4","1","1","","3","Młodzież moze stracic zdolnosc to poszukiwania informacji w inny sposob niz przez AI a słyszy sie ze AI juz potrafi okłamywac ludzi wiec moze to spowodować ze tacy ludzie beda łatwiejsci w manipulowaniu. AI na pewno zmieni troche sposb wykonywania mojej pracy, w wielu miejscach moze ją przyspieszyc, bo bedzie w stanie robic repetytywne zdania ale na pewno nie zasąpi w 100% człowieka. Człowiek dostosuje swoja prace (jak i w przeszlosci to robił) do mozliwosci nowego narzedzia."
"2025/05/21 8:36:48 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Socjologia","2","tłumaczenie mi zadań, tłumaczenie mi zagadnień których nie rozumiem, czasami robienie zadań z angielskiego ","1","5","5","5","5","2","","3","zagrożenia dla rynku pracy m.in. artystów"
"2025/05/21 8:58:48 PM EEST","Codziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Tak","","Kierowca","1","Do układania trasy","To nie ""objawy"", ale AI nie pomaga mi w pracy","2","","","","","","Transport","3","W celu szukania informacji oraz pomocy gramatycznej i składniowej","3","2","1","3","4","3","1","3","AI jest bardzo kreatywne i sprawdza się w pracach pisemnych, lecz w innych zastosowaniach mam z nim słabe doświadczenia, np generowanie obrazów pozostawia wiele do życzenia, również jego wiedza ścisła nie jest na wystarczającym, potrzebnym mi poziomie"
"2025/05/21 9:03:28 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Oceanografia","4","Tłumaczenie pytań np. wzorów ","4","3","2","4","5","2","","3","Korzyściami są uproszczenie i przyśpieszenie niektórych zagadnień. Zagrożeniam i są uzależnienia, spadający poziom wkładu własnego i bezkrytyczne zawierzanie sie technologii"
"2025/05/21 9:10:07 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści","Studia/Szkoła wyższa","Tak","","Operator wózka widłowego","3","","Brak","1","","","","","","Transport ","4","W celu formułowania teksów w języku branżowym.","4","2","3","5","4","3","3","1",""
"2025/05/21 9:48:15 PM EEST","Kilka razy w tygodniu","3","Tłumaczenie treści;Szukanie źródeł (artykuły, publikacje naukowe)","Studia/Szkoła wyższa","Tak","","Pracownik","3","","Etyczne wykorzystanie sztucznej inteligencji;Że ludzie będą bardziej polatać na niej niż na swojej wiedzy i innych, że nie będą się kształcić i rozwijać ","1","","","","","","Gospodarka wodna","3","Tłumaczenie artykułów naukowych, robienie spójnej notatki z punktów, szukanie źródeł ","2","2","4","5","5","1","","4","Korzyści: skrócenie czasu pracy
Zagrożenia: rozleniwienie ludzi, brak innowacyjności wśród ludzi, stracenie umiejętności rozróżniania co jest prawdą a co głupotą wymyślona przez AI i nie jest potwierdzone naukowo "
"2025/05/21 9:59:55 PM EEST","Codziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Kierunek lekarski","3","Do robienia prezentacji","4","1","2","5","5","2","","3","Zagrożenia: zwalnianie ludzi z pracy na rzecz AI, ludzie się rozleniwiają
Korzyści: duża pomoc w nauce, szybszy dostęp  do informacji "
"2025/05/21 10:17:56 PM EEST","Codziennie","5","Generowanie grafik / obrazów;Wsparcie w podejmowaniu decyzji;Poszerzanie wiedzy, edukacja","Zakończyłem/-am swoją edukację","","Tak","","","","","","Nauczyciel","5","Planowanie zajęć, scenariuszy imprez, konspektów, projektów ","Etyczne wykorzystanie sztucznej inteligencji;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","1","","","","","","4","1","2","3","1","3","Korzyści - lepsze dopasowanie treści internetowych do konkretnych potrzeb odbiorców sieci, rozwój nowych dziedzin wiedzy, możliwości naukowych, zagrożenia - problemy z pracą dla niektórych pracowników branży IT. "
"2025/05/21 10:33:38 PM EEST","Więcej niż raz dziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Generowanie grafik / obrazów;Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Tak","","Inżynier budowy ","3","","Brak","1","","","","","","Budownictwo ","5","Odpowiedzi do pytań ","5","1","5","5","5","3","1","5",""
"2025/05/21 11:08:33 PM EEST","Kilka razy w miesiącu","3","Tłumaczenie treści","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Biologia","3","","3","1","3","4","4","2","","3",""
"2025/05/22 12:08:27 AM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Generowanie grafik / obrazów;Rozrywka (np. chatboty, gry)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","ekonomia","4","Pomoc w nauce","4","3","2","4","3","3","2","4","mniejszy poziom iq ludzi"
"2025/05/22 12:22:35 AM EEST","Kilka razy w miesiącu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Między szkołą średnią a studiami/szkołą wyższą","Nie","","","","","","","","","","","","","3","Tłumaczenie zagadnień, pomoc w opracowywaniu długich tekstów (przy adhd bardzo mi to pomaga w zrozumieniu długich tekstów) pomoc w zadaniach ","3","5","3","5","5","1","","1","Przy dobrze poprowadzonym rozwoju może to pomóc w szybkim wykrywaniu chorób, może być pomocne przy wielu zawodach, przy których, może ona pomóc lub sugerować w jakiś sposób. Może być super alternatywą do sprawdzania prawdziwości niektórych faktów z mediów, internetu, telewizji czy prasy. Jeśli całość pójdzie w złym kierunku, możemy zastąpić ludzi robotami, które zawładną nad nami. Będą na tyle rozwinięte i inteligentne, że jako ludzie będziemy już niepotrzebni. "
"2025/05/22 12:38:58 AM EEST","Raz w miesiącu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Szkoła średnia","Nie","","","","","","","","","","","","","3","Wyjaśnienie niektórych zagadnień, streszczenia","3","2","2","3","5","4","4","2","Korzyści: ułatwienie w opracowywaniu długich tekstów, wyjaśnianiu trudnych zagadnień, robieniu notatek, tworzeniu zadań powtórzeniowych
Zagrożenia: AI może ograniczyć rozwój ludzi dając im wszystkie odpowiedzi nie pozostawiając miejsca na refleksje i samodzielne myślenie
Podsumowujac uwazam ze AI moze miec pozytywne zastosowanie jednak tylko dla ludzi korzystających z niego rozważnie i jedynie w celu pomocniczym a nie kompletnie zastepujacym prace nauke i myślenie."
"2025/05/22 9:02:42 AM EEST","Raz w miesiącu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Wsparcie w podejmowaniu decyzji","Zakończyłem/-am swoją edukację","","Tak","","","","","","Elektryk","3","","Brak","1","","","","","","2","2","2","2","","3",""
"2025/05/22 9:30:47 AM EEST","Kilka razy w tygodniu","4","Pisanie tekstów (np. e-maili, prac, wpisów);Programowanie i analiza danych;Wsparcie w podejmowaniu decyzji","Zakończyłem/-am swoją edukację","","Tak","","","","","","marketing","4","analiza danych, przygotowywanie raportów","Utrata pracy;Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Zmniejszenie znaczenia kompetencji pracownika;Etyczne wykorzystanie sztucznej inteligencji;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","3","","","","","","4","4","3","2","","1",""
"2025/05/22 9:40:02 AM EEST","Więcej niż raz dziennie","4","Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Programowanie i analiza danych;Generowanie grafik / obrazów","Zakończyłem/-am swoją edukację","","Tak","","","","","","programista","4","pisanie zapytań SQL; podpowiadanie poleceń lini komend; pomoc w pisaniu kodu","Utrata pracy;Etyczne wykorzystanie sztucznej inteligencji;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","3","","","","","","3","4","5","1","","3",""
"2025/05/22 10:41:58 AM EEST","Nigdy","","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Studia/Szkoła wyższa","Tak","","kelner","3","","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych","5","","","","","","pedagogika specjalna ","2","","5","1","4","5","5","2","","2","korzyści: przydatne narzędzia w różnych programach, np. canva (poprawianie błędów w tekście) negatywne: osłabienie kreatywności, propagowanie lenistwa"
"2025/05/22 10:56:57 AM EEST","Kilka razy w tygodniu","3","Tłumaczenie treści","Zakończyłem/-am swoją edukację","","Tak","","","","","","Programista","3","Generowanie kodu","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Zmniejszenie znaczenia kompetencji pracownika;Etyczne wykorzystanie sztucznej inteligencji;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","2","","","","","","4","5","5","1","","2","Zastąpenie stosowania własnego umysłu/kreatywnośći przez SI. Nadmierne zaufanie SI albo traktowanie je jako wszechwiedzącą i nieomylną wyrocznię, chociaż SI nie posiada żadnej swiadomości ani zrozumienia."
"2025/05/22 11:03:31 AM EEST","Kilka razy w miesiącu","4","Pisanie tekstów (np. e-maili, prac, wpisów);Generowanie grafik / obrazów;Wsparcie w podejmowaniu decyzji","Zakończyłem/-am swoją edukację","","Tak","","","","","","Game Dev","4","Tworzenie grafiki, analiza danych, pisanie prostych tekstów i edycja istniejących. ","Etyczne wykorzystanie sztucznej inteligencji;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","2","","","","","","4","5","5","2","","1","Korzyści: przyśpieszenie pracy, lepsza ""jakość"", automatyzacja, w przypadku tworzenia grafik - bardzo szybka metoda na eksploracje pomysłów. 
Zagrożenia: - nieautoryzowane wykorzystanie cudzych praw autorskich, eleminacja czynnika ludzkiego w procesie kreatywnym, wyciek danych (a raczej brak kontroli nad ich przepływem), uzależnienie procesów od AI, które następnie zostanie mocno zmonetyzowane, fact-checking w przypadku AI może być mocno skomplikowany (im trudniejsze zagadnienie tym ciężej ocenić czy AI ma rację), uzależnienie wyników AI od polityki firmy, która ją tworzy (szeroko pojęta cenzura i propaganda) "
"2025/05/22 11:22:35 AM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Praca","Studia/Szkoła wyższa","Tak","","Prowadzę własną firmę ","4","Do szybkiego weryfikowania informacji i sprawdzania przepisów prawnych ","Brak","2","","","","","","Zarządzanie ","3","Szybki dostęp do informacji ","3","2","2","4","4","1","3","1","Brak weryfikacji informacji "
"2025/05/22 11:51:49 AM EEST","Nigdy","","Nie korzystam z AI","Zakończyłem/-am swoją edukację","","Tak","","","","","","testowanie jakości gier video","3","","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Zmniejszenie znaczenia kompetencji pracownika","2","","","","","","2","5","3","1","","1","zagrożenie: brak weryfikacji prawdziwości informacji dostarczanych przez AI
korzyść: wsparcie procesów kreatywnych"
"2025/05/22 12:33:31 PM EEST","Więcej niż raz dziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Programowanie i analiza danych;Generowanie grafik / obrazów;Rozrywka (np. chatboty, gry)","Studia/Szkoła wyższa","Tak","","korepetytor ","1","","Brak","1","","","","","","prawo ","5","","5","5","4","4","3","4","3","4",""
"2025/05/22 1:20:28 PM EEST","Codziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści;Programowanie i analiza danych;Generowanie grafik / obrazów;Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Tak","","Programista","3","","Utrata pracy;Zmniejszenie znaczenia kompetencji pracownika","5","","","","","","","4","nauka wszystkiego :)","3","5","1","4","4","2","2","3","użycie AI do celów militarnych, gospodarczych itp. celem dominacji na świecie"
"2025/05/22 5:24:37 PM EEST","Więcej niż raz dziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Programowanie i analiza danych;Wsparcie w podejmowaniu decyzji","Zakończyłem/-am swoją edukację","","Tak","","","","","","Programista","3","Prośba o wyjaśnienie nowych pojęć, 
Możliwość przegadania pomysłów i wzajemne wytykanie sobie potencjalnych błędów(bez obawy o urażenie czyjść uczyć),","Utrata pracy;Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Zmniejszenie znaczenia kompetencji pracownika","3","","","","","","4","3","4","3","1","3","Zwiększenie progu wejścia dla początkujących(po co firmie osoba którą można zastąpić AI?),
Poleganie na efektach AI bez ich zrozumienia,
Pozbawienie sztuki ""duszy"""
"2025/05/22 5:25:54 PM EEST","Kilka razy w tygodniu","4","Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Wsparcie w podejmowaniu decyzji","Zakończyłem/-am swoją edukację","","Tak","","","","","","Projektuję gry wideo","4","Generowanie kilku zdaniowych pomysłów na wydarzenia w grze. Redagowanie tekstów.","Ujawnienie poufnych danych","3","","","","","","3","4","5","2","2","2",""
"2025/05/23 9:17:59 AM EEST","Więcej niż raz dziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Lekarski","5","Pomoc w rozwiązywaniu zadań ","3","5","3","5","5","2","","4",""
"2025/05/23 10:31:23 AM EEST","Nigdy","","Nie korzystam z AI","Zakończyłem/-am swoją edukację","","Tak","","","","","","Podróże Biznesowe","1","","Utrata pracy;Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Zmniejszenie znaczenia kompetencji pracownika;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","4","","","","","","5","5","5","1","","1",""
"2025/05/23 11:00:26 AM EEST","Nigdy","","Nie korzystam z AI","Zakończyłem/-am swoją edukację","","Tak","","","","","","Programista","3","","Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję;Tworzenie rozwiązań bez żadnego zrozumienia jak działają i przez to brak możliwości naprawy/zmiany.","1","","","","","","5","5","5","1","","1","Wiele różnych, najbardziej brak rozwoju rzeczywistej i głębokiej wiedzy w ludziach."
"2025/05/23 11:05:11 AM EEST","Kilka razy w tygodniu","4","Pisanie tekstów (np. e-maili, prac, wpisów);Programowanie i analiza danych","Zakończyłem/-am swoją edukację","","Tak","","","","","","Programista","4","Pomaga mi pisać kod, szczególnie gdy zaczynam pracę z nową biblioteką lub narzędziem. Poza pracą, bywa, że redaguje niektóre wpisy na media społecznościowe lub reklamy","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","2","","","","","","3","1","5","2","","1",""
"2025/05/23 12:50:49 PM EEST","Codziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Studia/Szkoła wyższa","Tak","","sprzedawca w gastronomii ","3","","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych","1","","","","","","logopedia ","4","tworzenie streszczeń i wyjaśnianie pojęć ","3","1","4","4","5","2","","4",""
"2025/05/23 4:04:02 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","prawo","4","wyszukiwanie orzeczeń, przygotowanie streszczeń dłuższych tekstów","3","3","4","5","5","2","","2","Korzyści: rozwój nowych technologii, usprawnienie pracy w niektórych dziedzinach
Zagrożenia: brak samodzielnego krytycznego myślenia, poleganie jedynie na sztucznej inteligencji, całkowita robotyzacja części zawodów dotychczas wykonywanych tylko przez ludzi "
"2025/05/23 6:29:32 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Wsparcie w podejmowaniu decyzji","Między szkołą średnią a studiami/szkołą wyższą","Tak","","Wychowawca kolonijny ","4","","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Zmniejszenie znaczenia kompetencji pracownika;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","1","","","","","","","4","","2","5","4","4","4","1","","3",""
"2025/05/23 6:30:26 PM EEST","Codziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści;Programowanie i analiza danych","Między szkołą średnią a studiami/szkołą wyższą","Tak","","przewodnik","3","","Utrata pracy;Zmniejszenie znaczenia kompetencji pracownika;Etyczne wykorzystanie sztucznej inteligencji","3","","","","","","","5","do znajdowania jakichś informacji, rozwiązywania problemów ","3","2","3","3","5","2","","3",""
"2025/05/24 12:03:08 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści;Rozrywka (np. chatboty, gry)","Szkoła średnia","Tak","","Kelner","3","","Brak","1","","","","","","","4","","3","4","5","5","4","1","","3","Brak samodzielności w nauce"
"2025/05/24 5:19:51 PM EEST","Codziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Studia/Szkoła wyższa","Tak","","Obsługa klienta","3","","Brak","1","","","","","","Lekarski ","4","Tłumaczenie zagadnień, znajdowanie materiałów, dogłębna analiza, wykonywanie prezentacji ","3","5","3","4","5","2","","3","Zastąpienie pracownika w celu większych zysków pieniężnych właściciela, dobre narzędzie do edukacji, nadmierne używanie obniża poziom inteligencji i sposobu radzenia sobie z problemami życia codziennego "
"2025/05/24 7:16:54 PM EEST","Więcej niż raz dziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Programowanie i analiza danych;Generowanie grafik / obrazów;Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Tak","","CEO","5","Copyrighting i analiza danych ","Zmniejszenie znaczenia kompetencji pracownika","3","","","","","","Projektowanie graficzne ","5","Kodowanie ","5","3","1","3","1","1","","1","Sterowanie opinią społeczną i zwrot w stronę ruchów prawicowych, wzrost nienawiści "
"2025/05/25 10:15:14 AM EEST","Kilka razy w miesiącu","3","Pisanie tekstów (np. e-maili, prac, wpisów);Generowanie grafik / obrazów","Zakończyłem/-am swoją edukację","","Tak","","","","","","Jestem nauczycielem ","3","Do przygotowania pomocy dydaktycznych","Zmniejszenie znaczenia kompetencji pracownika;Etyczne wykorzystanie sztucznej inteligencji;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","2","","","","","","5","4","5","1","","2","+ tłumaczenie
+ dostęp do informacji 
+ automatyzacja, większa wydajność pracy
- możliwość pomyłek, błędów 
- brak motywacji do nauki 
- bezpieczeństwo 
- nieetyczne wykorzystanie"
